id,text,author_id,username,created_at,retweet_count,like_count,reply_count,quote_count,sentiment_score
1,"Just watched the most incredible match! @TeamLiquid absolutely dominated! #LoLWorlds #esports",user_001,liquid_fan,2024-12-09T20:30:00Z,45,234,12,8,0.8
2,"Why is everyone so hyped about this game? It's just clicking buttons #overrated",user_002,skeptic_gamer,2024-12-09T20:31:00Z,2,15,45,3,-0.6
3,"@CocaCola sponsoring esports is genius! Love seeing brands support gaming community 🎮",user_003,brand_lover,2024-12-09T20:32:00Z,23,156,7,4,0.7
4,"The production quality of #LoLWorlds is insane! Riot really knows how to put on a show",user_004,production_nerd,2024-12-09T20:33:00Z,67,445,23,15,0.9
5,"Can't believe my team lost again... this is so frustrating 😤",user_005,frustrated_fan,2024-12-09T20:34:00Z,8,89,67,12,-0.8
6,"@RedBull energy drinks keeping me awake for these late night matches! #RedBull #esports",user_006,energy_drinker,2024-12-09T20:35:00Z,34,178,9,6,0.5
7,"The commentators are so biased, it's ruining the experience for me",user_007,commentary_critic,2024-12-09T20:36:00Z,12,67,89,23,-0.4
8,"Amazing plays by @Faker! This is why he's the GOAT of League of Legends 🐐",user_008,faker_fan,2024-12-09T20:37:00Z,156,892,45,34,0.95
9,"@Nike sponsoring esports teams is the future! Love seeing traditional sports brands embrace gaming",user_009,sports_brand_fan,2024-12-09T20:38:00Z,78,456,18,12,0.8
10,"This tournament format is confusing, why can't they make it simpler?",user_010,confused_viewer,2024-12-09T20:39:00Z,5,34,56,8,-0.3
11,"The crowd energy is electric! Wish I could be there in person #LoLWorlds",user_011,crowd_lover,2024-12-09T20:40:00Z,89,567,28,19,0.85
12,"@Samsung monitors are perfect for gaming! Can't imagine playing on anything else",user_012,tech_enthusiast,2024-12-09T20:41:00Z,45,234,12,7,0.6
13,"Why do people get so emotional about video games? It's not that serious",user_013,casual_gamer,2024-12-09T20:42:00Z,15,78,123,45,-0.2
14,"The strategy and teamwork in this match is incredible! True esports at its finest",user_014,strategy_fan,2024-12-09T20:43:00Z,123,789,34,28,0.9
15,"@Intel processors powering these gaming rigs must be insane! #IntelGaming",user_015,hardware_geek,2024-12-09T20:44:00Z,67,345,15,9,0.7
16,"I'm so tired of all these ads during matches, just let me watch the game!",user_016,ad_hater,2024-12-09T20:45:00Z,23,145,78,34,-0.5
17,"The comeback in this match is legendary! Never count out the underdogs",user_017,underdog_supporter,2024-12-09T20:46:00Z,234,1234,67,45,0.95
18,"@LogitechG gaming peripherals are top tier! Love my setup",user_018,peripheral_lover,2024-12-09T20:47:00Z,56,289,18,11,0.8
19,"This game is too complicated for me, I'll stick to simpler games",user_019,simple_gamer,2024-12-09T20:48:00Z,8,45,67,12,-0.1
20,"The international competition is what makes esports special! Global talent on display",user_020,global_fan,2024-12-09T20:49:00Z,145,678,45,32,0.85
21,"@Razer gaming chairs are so comfortable for long gaming sessions! #RazerGaming",user_021,chair_enthusiast,2024-12-09T20:50:00Z,78,456,22,16,0.7
22,"Why is everyone so obsessed with esports? It's just video games",user_022,esports_skeptic,2024-12-09T20:51:00Z,12,67,145,67,-0.4
23,"The skill ceiling in this game is incredible! These players are true athletes",user_023,skill_admirer,2024-12-09T20:52:00Z,189,987,56,41,0.9
24,"@ASUS ROG laptops are perfect for esports! Portable power for gaming on the go",user_024,laptop_gamer,2024-12-09T20:53:00Z,67,345,19,13,0.6
25,"I can't believe how much money is in esports now! The industry has grown so much",user_025,industry_watcher,2024-12-09T20:54:00Z,98,567,34,25,0.8
26,"The toxicity in the chat is ruining the experience for everyone",user_026,chat_moderator,2024-12-09T20:55:00Z,34,178,89,45,-0.6
27,"What an incredible play! This is why I love watching esports",user_027,play_admirer,2024-12-09T20:56:00Z,167,834,42,31,0.9
28,"@HyperX headsets provide amazing audio quality for gaming! #HyperXGaming",user_028,audio_enthusiast,2024-12-09T20:57:00Z,89,456,25,18,0.7
29,"The pressure these players are under must be insane! Respect to all competitors",user_029,pressure_understander,2024-12-09T20:58:00Z,123,678,38,29,0.8
30,"Why do people spend so much money on gaming setups? Seems excessive",user_030,budget_conscious,2024-12-09T20:59:00Z,18,89,67,23,-0.3
31,"The teamwork and communication in this match is flawless! True professionals",user_031,teamwork_admirer,2024-12-09T21:00:00Z,198,1098,67,52,0.95
32,"@Corsair RGB lighting makes my setup look amazing! #CorsairGaming",user_032,rgb_lover,2024-12-09T21:01:00Z,76,423,21,15,0.8
33,"I don't understand the appeal of watching other people play games",user_033,streaming_skeptic,2024-12-09T21:02:00Z,22,134,89,34,-0.2
34,"The dedication and practice these players put in is inspiring! True commitment",user_034,dedication_fan,2024-12-09T21:03:00Z,156,789,45,37,0.9
35,"@SteelSeries mouse pads are essential for competitive gaming! #SteelSeries",user_035,precision_gamer,2024-12-09T21:04:00Z,54,298,17,12,0.7
36,"The prize pools in esports are getting ridiculous! Where does all this money come from?",user_036,money_questioner,2024-12-09T21:05:00Z,45,234,78,45,0.1
37,"What a nail-biting finish! This is why esports is so exciting to watch",user_037,excitement_seeker,2024-12-09T21:06:00Z,234,1234,78,56,0.95
38,"@Alienware desktops are the ultimate gaming machines! #AlienwareGaming",user_038,desktop_enthusiast,2024-12-09T21:07:00Z,98,567,28,21,0.8
39,"The commentary team is doing an amazing job explaining the strategies!",user_039,commentary_fan,2024-12-09T21:08:00Z,67,345,23,18,0.7
40,"Why is everyone so obsessed with esports statistics? Just enjoy the game",user_040,stats_skeptic,2024-12-09T21:09:00Z,19,98,67,23,-0.1

